,Métricas de hardware,Métricas de hardware,Métricas de hardware,Métricas de hardware,Métricas combinadas,Métricas combinadas,Métricas combinadas,Métricas combinadas
,Requisições por segundo,Latência,Tempo de Resposta,Sucesso das Requisições (%),Requisições por segundo,Latência,Tempo de Resposta,Sucesso das Requisições (%)
count,10869.0,10869.0,10869.0,10869.0,10960.0,10960.0,10960.0,10960.0
mean,59.6070224473302,0.9480234584576136,0.6713436775858833,0.9741190066729734,52.52250389155072,0.4045789854128173,0.33546819417543416,0.9949732807741822
std,93.98005532997033,0.2157418806320122,0.3481805836107013,0.026427258812732415,73.05963746269902,0.055448015694072934,0.09492655345755947,0.005239344529559159
min,0.0277849740932642,0.1794073699,0.1792817263,0.9332701774752624,0.0507590890930882,0.1877052026499999,0.1736616487999999,0.9870354253018172
25%,11.780154893007431,0.9203155324799994,0.3356093709000005,0.9465312507406792,12.904376784015223,0.4058822582000003,0.28414536092999965,0.989446846352516
50%,19.943890947020105,0.9582861782800036,0.8391009719999999,0.9980031613569742,22.04236610711431,0.4252887351999995,0.3791850645649998,0.9997390666195536
75%,48.23262153566561,0.9974549344999988,0.9616907548200057,0.998684273025222,65.03621210466936,0.42898203255,0.4253315090400003,0.9998153966856014
max,350.1272727272727,2.003408516500007,2.0017902983800053,1.0,363.2379947997164,0.4509878435100001,0.4555181636399851,1.0
